uid,accession,gse,title,taxon,type,n_samples,platform,brain_related,query_hits,summary
200213947,,,Prenatal exposure to benzo[a]pyrene depletes ovarian reserve and masculinizes embryonic ovarian germ cell transcriptome transgenerationally,Mus musculus,Methylation profiling by high throughput sequencing,12,,,mouse_bap_all,This SuperSeries is composed of the SubSeries listed below.
200213946,,,Prenatal exposure to benzo[a]pyrene depletes ovarian reserve and masculinizes embryonic ovarian germ cell transcriptome transgenerationally II,Mus musculus,Methylation profiling by high throughput sequencing,6,,,mouse_bap_all,"People are exposed to polycyclic aromatic hydrocarbons, like benzo[a]pyrene (BaP), via inhalation of particulate matter air pollution and ingestion of grilled and smoked foods. Prenatal exposure to BaP destroys germ cells in ovaries, causing earlier onset of ovarian senescence post-natally. Developing testes are affected at higher doses than ovaries. However, it is not known if adverse effects are transmitted to subsequent generations. We orally dosed pregnant female mice (F0) with 0.033, 0.2, or 2 mg/kg-day BaP or vehicle from embryonic day (E) 6.5-11.5 (F1 offspring) or E6.5-15.5 (F2 and F3). Ovarian germ cell and follicle numbers were significantly decreased in F3 females at all doses of BaP; testicular germ cells were not affected. E13.5 germ cell RNA-sequencing revealed significantly increased expression of male-specific genes in female germ cells across generations and BaP doses. Our study demonstrated that F0 BaP exposure partially disrupted sexual identity of female germ cells transgenerationally."
200213945,,,Prenatal exposure to benzo[a]pyrene depletes ovarian reserve and masculinizes embryonic ovarian germ cell transcriptome transgenerationally I,Mus musculus,Methylation profiling by high throughput sequencing,6,,,mouse_bap_all,"People are exposed to polycyclic aromatic hydrocarbons, like benzo[a]pyrene (BaP), via inhalation of particulate matter air pollution and ingestion of grilled and smoked foods. Prenatal exposure to BaP destroys germ cells in ovaries, causing earlier onset of ovarian senescence post-natally. Developing testes are affected at higher doses than ovaries. However, it is not known if adverse effects are transmitted to subsequent generations. We orally dosed pregnant female mice (F0) with 0.033, 0.2, or 2 mg/kg-day BaP or vehicle from embryonic day (E) 6.5-11.5 (F1 offspring) or E6.5-15.5 (F2 and F3). Ovarian germ cell and follicle numbers were significantly decreased in F3 females at all doses of BaP; testicular germ cells were not affected. E13.5 germ cell RNA-sequencing revealed significantly increased expression of male-specific genes in female germ cells across generations and BaP doses. Our study demonstrated that F0 BaP exposure partially disrupted sexual identity of female germ cells transgenerationally."
200213812,,,Prenatal exposure to benzo[a]pyrene depletes ovarian reserve and masculinizes embryonic ovarian germ cell transcriptome transgenerationally [RNA-seq],Mus musculus,Expression profiling by high throughput sequencing,101,,,mouse_bap_all;mouse_bap_expr,"People are exposed to polycyclic aromatic hydrocarbons, like benzo[a]pyrene (BaP), via inhalation of particulate matter air pollution and ingestion of grilled and smoked foods. Prenatal exposure to BaP destroys germ cells in ovaries, causing earlier onset of ovarian senescence post-natally. Developing testes are affected at higher doses than ovaries. However, it is not known if adverse effects are transmitted to subsequent generations. We orally dosed pregnant female mice (F0) with 0.033, 0.2, or 2 mg/kg-day BaP or vehicle from embryonic day (E) 6.5-11.5 (F1 offspring) or E6.5-15.5 (F2 and F3). Ovarian germ cell and follicle numbers were significantly decreased in F3 females at all doses of BaP; testicular germ cells were not affected. E13.5 germ cell RNA-sequencing revealed significantly increased expression of male-specific genes in female germ cells across generations and BaP doses. Our study demonstrated that F0 BaP exposure partially disrupted sexual identity of female germ cells transgenerationally."
200223122,,,Transcriptomic signatures reveal a shift towards an antiinflammatory gene expression profile but also the induction of type-I and type-II interferon signaling networks through aryl hydrocarbon receptor activation in murine macrophages,Mus musculus,Expression profiling by high throughput sequencing,64,,,mouse_bap_all;mouse_bap_expr,"The aryl hydrocarbon receptor (AhR) is a ligand-activated transcription factor that regulates a broad range of target genes involved in the xenobiotic response, cell cycle control and circadian rhythm. AhR is constitutively expressed in macrophages, acting as key regulator of cytokine production. While proinflammatory cytokines, i.e., IL-1β, IL-6, IL-12, are suppressed through AhR activation, anti-inflammatory IL-10 is induced. However, the underlying mechanisms of those effects and the importance of the specific ligand structure are not yet completely understood. Therefore, we have compared the global gene expression pattern in activated murine bone marrow-derived macrophages (BMMs) subsequently to exposure with either benzo[a]pyrene (BaP) or indole-3-carbinol (I3C), representing xenobiotic vs. nutritional AhR ligands, respectively, by means of mRNA sequencing. AhR dependency of observed effects was proved using BMMs from AhR-knockout mice. In total, more than 1,000 differentially expressed genes (DEGs) could be mapped, covering a plethora of AhR-modulated effects on basal cellular processes, i.e., transcription and translation, but also immune functions, i.e., antigen presentation, cytokine production, and phagocytosis. Among DEGs were genes that are already known to be regulated by AhR, i.e., Irf1, Ido2, and Cd84. However, we identified DEGs not yet described to be AhR-regulated in macrophages so far, i.e., Slpi, Il12rb1, and Il21r. All six genes likely contribute to shifting the macrophage phenotype from proinflammatory to anti-inflammatory. The majority of DEGs were specific for BaP but not affected through I3C exposure, probably due to higher AhR affinity of BaP in comparison to I3C. Mapping of known aryl hydrocarbon response element (AHRE) sequence motifs in identified DEGs revealed more than 200 genes not possessing any AHRE, and therefore being not eligible for canonical regulation. Bioinformatic approaches modeled a central role of type I and type II interferons in the regulation of those genes. Additionally, RT-qPCR and ELISA confirmed a BaP- and AhR-dependent expressional induction and AhR-dependent secretion of IFN-γ, suggesting a potentially novel auto- or paracrine activation pathway of macrophages."
200184417,,,Sex differences in embryonic gonad transcriptomes and benzo[a]pyrene metabolite levels after transplacental exposure,Mus musculus,Expression profiling by high throughput sequencing,23,,,mouse_bap_all;mouse_bap_expr,"Polycyclic aromatic hydrocarbons like benzo[a]pyrene (BaP) are generated during incomplete combustion of organic materials. Prior research has demonstrated that BaP is a prenatal ovarian toxicant and carcinogen. However, the metabolic pathways active in the embryo and its developing gonads and the mechanisms by which prenatal exposure to BaP predisposes to ovarian tumors later in life remain to be fully elucidated. To address these data gaps, we orally dosed pregnant female mice with BaP from E6.5-11.5 (0, 0.2 or 2 mg/kg-day) for metabolite measurement or E9.5-11.5 (0 or 3.33 mg/kg-day) for embryonic gonad RNA-sequencing. Embryos were harvested at E13.5 for both experiments. The sum of BaP metabolite concentrations increased significantly with dose in the embryos and placentas, and concentrations were significantly higher in female than male embryos and in embryos than placentas. RNA sequencing revealed that enzymes involved in metabolic activation of BaP are expressed at moderate to high levels in embryonic gonads and that greater transcriptomic changes occurred in the ovaries in response to BaP than in the testes. We identified 490 differentially expressed genes (DEGs) with FDR p-values <0.05 when comparing BaP-exposed to control ovaries, but no statistically significant DEGs between BaP-exposed and control testes. Genes related to monocyte/macrophage recruitment and activity, prolactin family genes, and several keratin genes were among the most upregulated genes in the BaP-exposed ovaries. Results show that developing ovaries are more sensitive than testes to prenatal BaP exposure, which may be related to higher concentrations of BaP metabolites in female embryos."
200087689,,,Sub-chronic pulmonary transcriptional response to a mixture of 8 polycyclic aromatic hydrocarbons in adult male MutaTMMouse.,Mus musculus,Expression profiling by array,19,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"Polycyclic aromatic hydrocarbons (PAHs) are a class of hundreds of structurally similar chemicals ubiquitously present in our environment. They are created during the incomplete combustion of organic materials, such as oil, wood, tobacco, and charbroiled meat. As such, human exposure to mixtures of PAHs can occur through consumption of PAH-containing foods and water, inhalation of polluted air, or dermal contact. Several PAHs have been classified as carcinogenic to humans or probably carcinogenic to humans by the International Agency for Research on Cancer. The mice in this study were exposed to a mixture of 8 PAHs, benzo(a)pyrene, benz(a)anthracene, benzo(b)fluoranthene, benzo(ghi)perylene, benzo(k)fluoranthene, chrysene, dibenz(ah)anthracene, and indeno(123,cd)pyrene. In the present study, we sought to determine the dose-dependent changes in gene expression upon oral exposure to this PAH mixture in the lung tissue. Adult male MutaTMMouse were exposed to three doses of the mixture of 8 PAHs or vehicle control (olive oil) for 28 days and sacrificed three days after the final exposure."
200087688,,,Sub-chronic pulmonary transcriptional response to a mixture of 4 PAHs in adult male MutaTMMouse.,Mus musculus,Expression profiling by array,18,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"Polycyclic aromatic hydrocarbons (PAHs) are a class of hundreds of structurally similar chemicals ubiquitously present in our environment. They are created during the incomplete combustion of organic materials, such as oil, wood, tobacco, and charbroiled meat. As such, human exposure to mixtures of PAHs can occur through consumption of PAH-containing foods and water, inhalation of polluted air, or dermal contact. Several PAHs have been classified as carcinogenic to humans or probably carcinogenic to humans by the International Agency for Research on Cancer. The mice in this study were exposed to a mixture of 4 PAHs, benzo(a)pyrene, benz(a)anthracene, benzo(b)fluoranthene, and chrysene. In the present study, we sought to determine the dose-dependent changes in gene expression upon oral exposure to this PAH mixture in the lung tissue. Adult male MutaTMMouse were exposed to three doses of the mixture of 4 PAHs or vehicle control (olive oil) for 28 days and sacrificed three days after the final exposure."
200072088,,,Exploiting microRNA and mRNA profiles generated in vitro from carcinogen-exposed primary mouse hepatocytes for predicting in vivo genotoxicity and carcinogenicity,Mus musculus; Rattus norvegicus; Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,340,,,mouse_bap_all;mouse_bap_expr,This SuperSeries is composed of the SubSeries listed below.
200072081,,,Exploiting microRNA and mRNA profiles generated in vitro from carcinogen-exposed primary mouse hepatocytes for predicting in vivo genotoxicity and carcinogenicity (mRNA),Mus musculus,Expression profiling by array,184,,,mouse_bap_all;mouse_bap_expr,"The well-defined battery of in vitro systems applied within chemical cancer risk assessment is often characterised by a high false-positive rate, thus repeatedly failing to correctly predict the in vivo genotoxic and carcinogenic properties of test compounds. Toxicogenomics, i.e. mRNA-profiling, has been proven successful in improving the prediction of genotoxicity in vivo and the understanding of underlying mechanisms. Recently, microRNAs have been discovered as post-transcriptional regulators of mRNAs. It is thus hypothesised that using microRNA response-patterns may further improve current prediction methods. This study aimed at predicting genotoxicity and non-genotoxic carcinogenicity in vivo, by comparing microRNA- and mRNA-based profiles, using a frequently applied in vitro liver model and exposing this to a range of well-chosen prototypical carcinogens. Primary mouse hepatocytes (PMH) were treated for 24 and 48h with 21 chemical compounds [genotoxins (GTX) vs. non-genotoxins (NGTX) and non-genotoxic carcinogens (NGTX-C) versus non-carcinogens (NC)]. MicroRNA and mRNA expression changes were analysed by means of Exiqon and Affymetrix microarray-platforms, respectively. Classification was performed by using Prediction Analysis for Microarrays (PAM). Compounds were randomly assigned to training and validation sets (repeated 10 times). Before prediction analysis, pre-selection of microRNAs and mRNAs was performed by using a leave-one-out t-test. No microRNAs could be identified that accurately predicted genotoxicity or non-genotoxic carcinogenicity in vivo. However, mRNAs could be detected which appeared reliable in predicting genotoxicity in vivo after 24h (7 genes) and 48h (2 genes) of exposure (accuracy: 90% and 93%, sensitivity: 65% and 75%, specificity: 100% and 100%). Tributylinoxide and para-Cresidine were misclassified. Also, mRNAs were identified capable of classifying NGTX-C after 24h (5 genes) as well as after 48h (3 genes) of treatment (accuracy: 78% and 88%, sensitivity: 83% and 83%, specificity: 75% and 93%). Wy-14,643, phenobarbital and ampicillin trihydrate were misclassified. We conclude that genotoxicity and non-genotoxic carcinogenicity probably cannot be accurately predicted based on microRNA profiles. Overall, transcript-based prediction analyses appeared to clearly outperform microRNA-based analyses."
200072014,,,Exploiting microRNA and mRNA profiles generated in vitro from carcinogen-exposed primary mouse hepatocytes for predicting in vivo genotoxicity and carcinogenicity (miRNA),Rattus norvegicus; Homo sapiens; Mus musculus,Non-coding RNA profiling by array,156,,,mouse_bap_all,"The well-defined battery of in vitro systems applied within chemical cancer risk assessment is often characterised by a high false-positive rate, thus repeatedly failing to correctly predict the in vivo genotoxic and carcinogenic properties of test compounds. Toxicogenomics, i.e. mRNA-profiling, has been proven successful in improving the prediction of genotoxicity in vivo and the understanding of underlying mechanisms. Recently, microRNAs have been discovered as post-transcriptional regulators of mRNAs. It is thus hypothesised that using microRNA response-patterns may further improve current prediction methods. This study aimed at predicting genotoxicity and non-genotoxic carcinogenicity in vivo, by comparing microRNA- and mRNA-based profiles, using a frequently applied in vitro liver model and exposing this to a range of well-chosen prototypical carcinogens. Primary mouse hepatocytes (PMH) were treated for 24 and 48h with 21 chemical compounds [genotoxins (GTX) vs. non-genotoxins (NGTX) and non-genotoxic carcinogens (NGTX-C) versus non-carcinogens (NC)]. MicroRNA and mRNA expression changes were analysed by means of Exiqon and Affymetrix microarray-platforms, respectively. Classification was performed by using Prediction Analysis for Microarrays (PAM). Compounds were randomly assigned to training and validation sets (repeated 10 times). Before prediction analysis, pre-selection of microRNAs and mRNAs was performed by using a leave-one-out t-test. No microRNAs could be identified that accurately predicted genotoxicity or non-genotoxic carcinogenicity in vivo. However, mRNAs could be detected which appeared reliable in predicting genotoxicity in vivo after 24h (7 genes) and 48h (2 genes) of exposure (accuracy: 90% and 93%, sensitivity: 65% and 75%, specificity: 100% and 100%). Tributylinoxide and para-Cresidine were misclassified. Also, mRNAs were identified capable of classifying NGTX-C after 24h (5 genes) as well as after 48h (3 genes) of treatment (accuracy: 78% and 88%, sensitivity: 83% and 83%, specificity: 75% and 93%). Wy-14,643, phenobarbital and ampicillin trihydrate were misclassified. We conclude that genotoxicity and non-genotoxic carcinogenicity probably cannot be accurately predicted based on microRNA profiles. Overall, transcript-based prediction analyses appeared to clearly outperform microRNA-based analyses."
200082242,,,Cyp1b1-mediated suppression of lymphoid progenitors in bone marrow coordinately impacts spleen and thymus,Mus musculus,Expression profiling by array,24,,,mouse_bap_all;mouse_bap_expr;mouse_bap_brain,"C57BL/6j mice were treated with polycyclic aromatic hydrocarbons (benzo(a)pyrene, 7,12-dimethylbenz(a)anthracene, and 2,3,7,8 tetrachlorodibenzo-p-dioxin) Cyp1a1 and Cyp1b1 deletion separately and in combination were evaluated relative to the intact WT mice"
