gene_symbol,tier,sources,human_ensembl,mouse_ensembl,mouse_symbol,orthology_type,perc_id,ensembl_release,orthology_class,n_mouse_orthologs,mapped,matrix_symbol,alias_note,in_matrix_CLEAN,in_matrix_FULL
ADRB2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ADRB3,C,ChEMBL,ENSG00000188778,ENSMUSG00000031489,Adrb3,ortholog_one2one,78.75,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Adrb3,,FALSE,FALSE
ADRB3R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
AGTR2,C,ChEMBL,ENSG00000180772,ENSMUSG00000068122,Agtr2,ortholog_one2one,91.7355,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Agtr2,,FALSE,FALSE
AHR,A,ChEMBL;SwissTargetPrediction,ENSG00000106546,ENSMUSG00000019256,Ahr,ortholog_one2one,73.1677,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ahr,,FALSE,FALSE
AKR1C2,C,PharmMapper,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ALB,B,PharmMapper,ENSG00000163631,ENSMUSG00000029368,Alb,ortholog_one2one,72.5329,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Alb,,FALSE,FALSE
ALK,C,SwissTargetPrediction,ENSG00000171094,ENSMUSG00000055471,Alk,ortholog_one2one,87.6003,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Alk,,TRUE,TRUE
ALOX15B,C,SwissTargetPrediction,ENSG00000179593,ENSMUSG00000020891,Alox8,ortholog_one2one,77.8434,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Alox8,,FALSE,FALSE
ALOX5,C,SEA,ENSG00000012779,ENSMUSG00000025701,Alox5,ortholog_one2one,93.4718,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Alox5,,FALSE,FALSE
APEX1,C,SwissTargetPrediction,ENSG00000100823,ENSMUSG00000035960,Apex1,ortholog_one2one,94.6372,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Apex1,,TRUE,TRUE
APLNR,C,SwissTargetPrediction,ENSG00000134817,ENSMUSG00000044338,Aplnr,ortholog_one2one,91.7772,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Aplnr,,FALSE,FALSE
APOA2,B,PharmMapper,ENSG00000158874,ENSMUSG00000005681,Apoa2,ortholog_one2one,61.7647,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Apoa2,,FALSE,FALSE
APOBEC3F,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
APP,C,SwissTargetPrediction,ENSG00000142192,ENSMUSG00000022892,App,ortholog_one2one,97.2037,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,App,,TRUE,TRUE
AR,C,PharmMapper;SwissTargetPrediction,ENSG00000169083,ENSMUSG00000046532,Ar,ortholog_one2one,87.6529,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ar,,TRUE,TRUE
ARA24,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
ASM,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
AVPR1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
AVPR1A,C,ChEMBL,ENSG00000166148,ENSMUSG00000020123,Avpr1a,ortholog_one2one,81.7967,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Avpr1a,,FALSE,FALSE
B1AR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
B2AR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
B2R,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
B3AR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
BACE1,C,PharmMapper;SwissTargetPrediction,ENSG00000186318,ENSMUSG00000032086,Bace1,ortholog_one2one,96.4072,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Bace1,,TRUE,TRUE
BCHE,B,PharmMapper;SwissTargetPrediction,ENSG00000114200,ENSMUSG00000027792,Bche,ortholog_one2one,79.4361,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Bche,,FALSE,FALSE
BDKRB2,C,ChEMBL,ENSG00000168398,ENSMUSG00000021070,Bdkrb2,ortholog_one2one,79.5918,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Bdkrb2,,FALSE,FALSE
BKR2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
BMP2,B,PharmMapper,ENSG00000125845,ENSMUSG00000027358,Bmp2,ortholog_one2one,91.6244,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Bmp2,,FALSE,FALSE
CA1,C,SwissTargetPrediction,ENSG00000133742,ENSMUSG00000027556,Car1,ortholog_one2one,78.1609,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car1,,FALSE,FALSE
CA12,C,SwissTargetPrediction,ENSG00000074410,ENSMUSG00000032373,Car12,ortholog_one2one,82.8488,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car12,,TRUE,TRUE
CA2,C,ChEMBL;PharmMapper;SwissTargetPrediction,ENSG00000104267,ENSMUSG00000027562,Car2,ortholog_one2one,80.7692,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car2,,TRUE,TRUE
CA3,C,SwissTargetPrediction,ENSG00000164879,ENSMUSG00000027559,Car3,ortholog_one2one,91.9231,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car3,,FALSE,FALSE
CA4,C,SwissTargetPrediction,ENSG00000167434,ENSMUSG00000000805,Car4,ortholog_one2one,57.377,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car4,,TRUE,TRUE
CA5A,C,SwissTargetPrediction,ENSG00000174990,ENSMUSG00000025317,Car5a,ortholog_one2one,71.9064,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car5a,,FALSE,FALSE
CA5B,C,SwissTargetPrediction,ENSG00000169239,ENSMUSG00000031373,Car5b,ortholog_one2one,89.2744,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car5b,,FALSE,FALSE
CA9,C,SwissTargetPrediction,ENSG00000107159,ENSMUSG00000028463,Car9,ortholog_one2one,73.2265,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Car9,,FALSE,FALSE
CAC,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CALCR,C,ChEMBL,ENSG00000004948,ENSMUSG00000023964,Calcr,ortholog_one2one,74.3952,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Calcr,,FALSE,FALSE
CALNA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CANN6,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CASP1,C,ChEMBL,ENSG00000137752,ENSMUSG00000025888,Casp1,ortholog_one2many,61.9403,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,1,TRUE,Casp1,,TRUE,TRUE
CB1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CBX,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CBX1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CCKAR,C,ChEMBL,ENSG00000163394,ENSMUSG00000029193,Cckar,ortholog_one2one,88.9908,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cckar,,FALSE,FALSE
CCKRA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CCNA2,C,PharmMapper,ENSG00000145386,ENSMUSG00000027715,Ccna2,ortholog_one2one,87.2038,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ccna2,,FALSE,FALSE
CCR2,C,ChEMBL;SwissTargetPrediction,ENSG00000121807,ENSMUSG00000049103,Ccr2,ortholog_one2one,76.9437,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ccr2,,FALSE,FALSE
CCR4,C,ChEMBL,ENSG00000183813,ENSMUSG00000047898,Ccr4,ortholog_one2one,86.6667,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ccr4,,FALSE,FALSE
CCR5,C,ChEMBL,ENSG00000160791,ENSMUSG00000079227,Ccr5,ortholog_one2one,81.9209,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ccr5,,TRUE,FALSE
CD45,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CDK8,C,SwissTargetPrediction,ENSG00000132964,ENSMUSG00000029635,Cdk8,ortholog_one2one,98.9224,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cdk8,,TRUE,TRUE
CHEK1,C,PharmMapper,ENSG00000149554,ENSMUSG00000032113,Chek1,ortholog_one2one,93.0672,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chek1,,FALSE,FALSE
CHEMR13,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CHRM1,C,ChEMBL,ENSG00000168539,ENSMUSG00000032773,Chrm1,ortholog_one2one,98.913,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chrm1,,FALSE,FALSE
CHRM2,C,ChEMBL,ENSG00000181072,ENSMUSG00000045613,Chrm2,ortholog_one2one,96.3519,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chrm2,,FALSE,FALSE
CHRM3,C,ChEMBL,ENSG00000133019,ENSMUSG00000046159,Chrm3,ortholog_one2one,91.6808,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chrm3,,TRUE,TRUE
CHRM4,C,ChEMBL,ENSG00000180720,ENSMUSG00000040495,Chrm4,ortholog_one2one,96.0334,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chrm4,,FALSE,FALSE
CHRM5,C,ChEMBL,ENSG00000184984,ENSMUSG00000074939,Chrm5,ortholog_one2one,88.7218,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Chrm5,,FALSE,FALSE
CLG,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CLG4B,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CMKAR1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CMKBR2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CMKBR4,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CMKBR5,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CNA,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CNR,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CNR1,C,ChEMBL;SwissTargetPrediction,ENSG00000118432,ENSMUSG00000044288,Cnr1,ortholog_one2one,96.8288,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cnr1,,TRUE,FALSE
CNR2,C,SwissTargetPrediction,ENSG00000188822,ENSMUSG00000062585,Cnr2,ortholog_one2one,82.7089,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cnr2,,FALSE,FALSE
COX1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
COX2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CRABP2,B,PharmMapper,ENSG00000143320,ENSMUSG00000004885,Crabp2,ortholog_one2one,93.4783,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Crabp2,,FALSE,FALSE
CRHR1,C,SwissTargetPrediction,ENSG00000120088,ENSMUSG00000018634,Crhr1,ortholog_one2one,97.5904,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Crhr1,,FALSE,FALSE
CSBP,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CSBP1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CSBP2,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CSPB1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CTNNA1,B,PharmMapper,ENSG00000044115,ENSMUSG00000037815,Ctnna1,ortholog_one2one,99.4481,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ctnna1,,TRUE,TRUE
CTSB,C,SwissTargetPrediction,ENSG00000164733,ENSMUSG00000021939,Ctsb,ortholog_one2one,78.7611,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ctsb,,TRUE,TRUE
CTSG,C,ChEMBL,ENSG00000100448,ENSMUSG00000040314,Ctsg,ortholog_one2one,66.2835,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Ctsg,,FALSE,FALSE
CTSL,C,SwissTargetPrediction,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CXCR1,C,ChEMBL,ENSG00000163464,ENSMUSG00000048480,Cxcr1,ortholog_one2one,63.8177,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cxcr1,,FALSE,FALSE
CXCR2,C,ChEMBL,ENSG00000180871,ENSMUSG00000026180,Cxcr2,ortholog_one2one,71.0306,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cxcr2,,FALSE,FALSE
CYP19A1,C,SwissTargetPrediction,ENSG00000137869,ENSMUSG00000032274,Cyp19a1,ortholog_one2one,79.3241,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cyp19a1,,FALSE,FALSE
CYP1A2,A,ChEMBL;SwissTargetPrediction,ENSG00000140505,ENSMUSG00000032310,Cyp1a2,ortholog_one2one,72.9045,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cyp1a2,,FALSE,FALSE
CYP1B1,A,SwissTargetPrediction,ENSG00000138061,ENSMUSG00000024087,Cyp1b1,ortholog_one2one,81.0313,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cyp1b1,,FALSE,TRUE
CYP2A3,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2A6,C,ChEMBL;SwissTargetPrediction,ENSG00000255974,ENSMUSG00000060407,Cyp2a12,ortholog_many2many,70.7317,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,4,TRUE,Cyp2a12,,FALSE,FALSE
CYP2A6,C,ChEMBL;SwissTargetPrediction,ENSG00000255974,ENSMUSG00000074254,Cyp2a4,ortholog_many2many,83.6032,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,4,TRUE,Cyp2a4,,FALSE,FALSE
CYP2A6,C,ChEMBL;SwissTargetPrediction,ENSG00000255974,ENSMUSG00000091867,Cyp2a22,ortholog_many2many,70.5285,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,4,TRUE,Cyp2a22,,FALSE,FALSE
CYP2A6,C,ChEMBL;SwissTargetPrediction,ENSG00000255974,ENSMUSG00000005547,Cyp2a5,ortholog_many2many,85.2227,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,4,TRUE,Cyp2a5,,FALSE,FALSE
CYP2C10,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2C19,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2C9,C,ChEMBL;PharmMapper,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000022445,Cyp2d26,ortholog_one2many,71,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d26,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000061740,Cyp2d22,ortholog_one2many,75.2,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d22,,TRUE,TRUE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000096852,Cyp2d12,ortholog_one2many,67.6587,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d12,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000094806,Cyp2d10,ortholog_one2many,69.246,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d10,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000068083,Cyp2d40,ortholog_one2many,67.2131,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d40,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000094559,Cyp2d34,ortholog_one2many,68.0556,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d34,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000068086,Cyp2d9,ortholog_one2many,69.246,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d9,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000068085,Cyp2d11,ortholog_one2many,67.4603,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d11,,FALSE,FALSE
CYP2D6,C,ChEMBL,ENSG00000100197,ENSMUSG00000118516,Cyp2d13,ortholog_one2many,57.7465,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp2d13,,FALSE,FALSE
CYP2DL1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2E,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP2E1,C,ChEMBL,ENSG00000130649,ENSMUSG00000025479,Cyp2e1,ortholog_one2one,78.0933,"116 (Ensembl Genes 116, ensembl_mart_116)",one2one,1,TRUE,Cyp2e1,,FALSE,FALSE
CYP3A3,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000038656,Cyp3a16,ortholog_many2many,70.2381,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a16,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000075551,Cyp3a41a,ortholog_many2many,71.2302,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a41a,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000029727,Cyp3a13,ortholog_many2many,75.3479,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a13,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000075552,Cyp3a41b,ortholog_many2many,71.2302,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a41b,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000061292,Cyp3a59,ortholog_many2many,68.7873,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a59,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000056035,Cyp3a11,ortholog_many2many,72.619,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a11,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000029630,Cyp3a25,ortholog_many2many,71.173,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a25,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000054417,Cyp3a44,ortholog_many2many,69.4444,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a44,,FALSE,FALSE
CYP3A4,C,ChEMBL,ENSG00000160868,ENSMUSG00000070419,Cyp3a57,ortholog_many2many,68.3897,"116 (Ensembl Genes 116, ensembl_mart_116)",one2many,9,TRUE,Cyp3a57,,FALSE,FALSE
CYP5,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYP5A1,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIA6,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIC17,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIC19,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIIC9,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
CYPIID6,C,ChEMBL,NA,NA,NA,NA,NA,NA,unmapped,NA,FALSE,NA,,FALSE,FALSE
